No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
147,EPC,2.46B,21.48,13.63,4.88,1.18,1.56,5.13,15.85,71.20%,5.81%,-6.70%,4.40%,-2.40%,45.45,3.18%,"336,209"
148,EPD,44.97B,11.80,9.57,1.16,1.23,1.83,20.32,27.33,-17.40%,-0.36%,6.40%,10.20%,0.10%,20.93,0.67%,"6,833,590"
149,EPR,3.36B,346.87,26.51,49.55,7.16,1.29,23.30,16.27,-220.70%,118.90%,-22.00%,7.00%,-0.30%,45.44,-0.83%,"727,465"
150,EPRT,3.38B,44.04,29.48,1.64,16.40,1.69,123.04,95.58,-30.60%,13.57%,-,26.82%,-,27.39,1.37%,"657,212"
151,EQH,13.18B,-,5.01,-,0.83,1.32,2.51,-,56.40%,0.61%,-35.80%,12.85%,4.30%,32.38,0.78%,"2,222,523"
152,EQT,7.87B,-,9.32,-,16.48,0.91,345.11,-,22.50%,120.06%,-54.00%,5.00%,5.50%,20.97,-1.41%,"7,415,480"
153,ESI,5.86B,26.08,15.02,2.12,2.56,2.38,20.98,28.03,1.30%,15.40%,17.10%,12.30%,-6.10%,23.86,5.81%,"2,683,409"
154,ESMT,3.45B,-,194.14,-,17.26,4.82,13.58,-,87.50%,-2.52%,-,-,-,22.52,2.93%,"665,651"
155,ET,26.04B,4.54,6.43,-,0.44,1.04,83.18,4.07,-118.00%,-34.06%,-17.20%,-6.90%,-1.60%,8.36,1.33%,"20,821,676"
156,ETRN,4.17B,15.37,9.50,-,2.90,1.31,21.49,4.84,232.50%,62.34%,4.30%,-,19.00%,9.62,1.05%,"6,489,096"
157,ETWO,3.31B,-,81.95,-,6.97,1.01,6.99,-,-134.30%,275.00%,-,-,-,10.90,1.96%,"9,126,219"
158,EVH,2.45B,-,223.50,-,2.63,3.79,-,-,-8.50%,181.80%,-20.60%,30.00%,60.20%,26.82,1.28%,"436,829"
159,EVTC,3.56B,23.21,17.37,1.64,6.26,8.23,14.59,15.95,1.50%,5.64%,5.30%,14.13%,6.50%,48.46,1.44%,"318,800"
160,EXEL,5.62B,35.02,24.01,0.76,4.49,2.67,4.01,20.45,-65.50%,49.10%,19.70%,46.00%,92.70%,17.86,5.06%,"1,926,934"
161,EXPI,5.24B,74.55,50.87,7.45,1.59,27.02,53.46,24.17,369.90%,38.78%,65.60%,10.00%,140.30%,34.59,5.84%,"959,444"
162,EYE,3.85B,27.20,36.18,1.27,1.83,4.00,8.77,22.62,9.10%,-0.52%,54.30%,21.40%,10.00%,48.01,0.48%,"512,678"
163,F,73.61B,28.64,10.19,-,0.55,2.20,1.59,6.81,290.20%,4.48%,-16.80%,-,-3.20%,20.19,0.70%,"78,395,696"
164,FBC,2.35B,4.03,7.51,2.01,2.85,0.90,4.47,-,150.00%,-42.82%,33.60%,2.00%,18.20%,45.12,-2.19%,"791,583"
165,FBK,2.05B,11.08,13.62,-,5.31,1.46,1.52,-,-37.10%,-15.41%,-4.20%,-,25.10%,43.21,2.10%,"250,708"
166,FBP,2.69B,10.98,6.78,0.76,3.39,1.25,1.00,7.49,-39.70%,42.23%,35.50%,14.40%,2.70%,13.08,0.31%,"2,401,334"
167,FCPT,2.22B,26.27,24.55,-,11.60,2.48,284.43,-,2.10%,5.94%,52.00%,-,38.60%,28.48,1.17%,"392,037"
168,FCX,54.84B,14.17,10.62,0.49,2.59,4.10,7.15,8.39,344.60%,14.73%,15.30%,28.90%,-0.60%,37.25,-1.87%,"23,120,268"
169,FE,21.62B,21.29,15.83,59.97,1.96,2.90,37.48,-,11.20%,-3.04%,6.30%,0.35%,-6.40%,39.94,-0.10%,"4,104,381"
170,FFBC,2.18B,10.94,13.00,1.09,4.41,0.98,6.48,6.51,-20.70%,-20.97%,5.50%,10.00%,14.20%,23.32,-0.60%,"954,376"
171,FHB,3.47B,13.01,15.67,16.26,6.32,1.28,1.45,13.91,-33.10%,-17.20%,-1.40%,0.80%,3.80%,27.07,1.23%,"1,051,273"
172,FHI,3.48B,11.52,11.53,2.20,2.59,2.78,10.07,-,20.70%,11.87%,14.90%,5.24%,9.30%,35.84,0.96%,"763,410"
173,FHN,8.78B,9.18,10.77,0.97,3.99,1.14,0.50,14.41,37.50%,-23.64%,41.20%,9.50%,20.80%,16.17,0.12%,"5,311,373"
174,FIBK,2.49B,13.19,21.18,1.65,4.86,1.25,1.12,12.92,-10.70%,-37.15%,5.90%,8.00%,13.10%,40.09,-0.64%,"507,466"
175,FIGS,5.18B,-,97.39,-,13.60,18.40,28.69,-,-,46.86%,-,5.30%,-,25.03,-0.40%,"3,937,498"
176,FITB,29.68B,12.00,13.07,-,5.67,1.48,0.78,-,-45.10%,-11.13%,-1.80%,-2.98%,6.70%,43.42,0.70%,"4,259,854"
177,FIZZ,4.59B,24.38,23.31,0.95,4.20,10.39,18.68,23.18,34.00%,7.51%,23.30%,25.56%,8.80%,46.03,1.12%,"266,786"
178,FL,4.48B,4.92,6.44,0.13,0.51,1.32,3.34,7.21,-32.00%,-12.64%,-4.40%,39.22%,0.40%,42.77,0.05%,"1,648,110"
179,FLO,5.61B,25.53,21.11,77.35,1.28,4.01,18.23,48.70,-7.60%,1.20%,-4.20%,0.33%,3.00%,26.70,1.25%,"1,303,114"
180,FLR,3.44B,-,21.25,-,0.27,2.16,1.57,-,80.80%,27.30%,-22.30%,-6.69%,-2.90%,24.37,-0.25%,"1,601,128"
181,FLS,3.95B,23.79,15.93,1.62,1.10,2.23,2.71,20.12,-51.00%,33.17%,-14.40%,14.70%,-3.90%,30.19,0.84%,"1,413,825"
182,FMBI,2.18B,12.53,12.96,1.79,3.51,0.87,1.01,12.54,-52.40%,-10.06%,-3.80%,7.00%,14.20%,19.24,-3.66%,"1,269,325"
183,FNB,3.81B,10.54,11.47,1.05,3.70,0.77,0.93,10.28,-27.10%,-14.32%,-0.30%,10.00%,15.60%,12.01,0.76%,"2,496,138"
184,FORM,3.34B,44.48,24.36,2.22,4.39,4.27,12.63,41.69,95.20%,14.04%,108.90%,20.00%,19.70%,43.15,4.25%,"349,557"
185,FOX,19.80B,10.05,14.35,1.09,1.53,1.77,-,-,-,14.60%,-,9.20%,-,33.73,0.78%,"2,143,644"
186,FOXA,19.98B,12.18,10.19,1.90,1.51,1.82,3.69,13.18,122.80%,25.23%,15.90%,6.40%,7.70%,36.25,0.75%,"4,673,959"
187,FRME,2.22B,11.04,11.83,1.58,4.92,1.19,3.90,13.73,-14.80%,-8.97%,9.60%,7.00%,15.20%,41.43,0.73%,"219,561"
188,FROG,2.97B,-,2470.00,-,15.60,4.40,7.37,156.08,-52.40%,-72.09%,-,-14.80%,-,29.64,1.61%,"793,718"
189,FSK,5.75B,5.02,7.94,-,8.62,0.77,-,-,22.20%,-1.90%,-12.55%,-0.90%,-,20.17,0.40%,"1,694,182"
190,FSS,2.65B,25.21,20.24,1.58,2.19,3.47,30.09,36.58,-11.50%,23.91%,8.50%,16.00%,8.00%,43.63,2.01%,"402,163"
191,FTAI,2.44B,-,17.08,-,6.32,1.80,13.85,-,-170.90%,1564.70%,-47.60%,-,21.80%,24.44,2.73%,"554,775"
192,FTDR,2.86B,23.13,14.88,1.68,1.80,44.99,-,17.23,-27.30%,12.66%,-1.60%,13.80%,10.00%,32.84,-0.85%,"1,131,849"
193,FULT,2.60B,10.51,12.56,1.31,3.56,1.06,1.03,8.02,-20.00%,-20.27%,5.00%,8.00%,4.90%,16.35,0.18%,"1,166,291"
194,FUN,2.80B,-,16.91,-,2.74,-,4.98,67.96,-445.10%,338.60%,-48.60%,-2.12%,-31.90%,48.63,-0.80%,"489,078"
195,FYBR,7.26B,1.57,40.40,-,1.11,1.69,6.00,-,93.20%,-76.09%,2.70%,-,5.10%,30.30,-2.82%,"1,599,169"
196,GBDC,2.50B,23.02,12.55,2.30,8.38,1.02,-,-,57.00%,-37.40%,0.44%,10.00%,-,14.94,0.27%,"753,275"
197,GCP,2.35B,114.04,32.92,-,2.42,3.53,4.87,316.93,146.90%,44.78%,-25.03%,-,-3.70%,31.93,0.69%,"2,234,989"
198,GDRX,15.37B,-,73.38,-,22.42,18.24,16.86,113.70,-720.20%,46.29%,-,30.88%,-,37.57,-4.74%,"3,525,136"
199,GDYN,2.48B,-,100.37,-,14.21,8.62,12.47,178.75,-138.60%,7.69%,-,-,-,37.94,2.57%,"662,535"
200,GLPI,10.88B,17.98,18.57,4.77,8.93,3.72,25.70,49.74,32.50%,4.48%,17.10%,3.77%,14.90%,45.50,-0.42%,"1,213,730"
201,GLW,31.70B,39.62,15.95,1.74,2.30,2.61,14.33,34.45,-49.80%,12.98%,-11.70%,22.82%,4.40%,37.20,1.14%,"3,761,640"
202,GNTX,7.98B,19.51,17.33,1.23,4.33,4.20,28.82,21.58,-15.10%,32.21%,5.50%,15.80%,1.80%,33.93,-0.03%,"1,334,224"
203,GNW,2.02B,2.04,4.48,0.41,0.24,0.13,1.04,2.53,59.20%,-43.12%,40.10%,5.00%,0.20%,4.00,-1.48%,"5,842,251"
204,GO,2.70B,35.44,27.85,26.25,0.87,2.75,17.29,28.42,475.50%,13.81%,-,1.35%,-,28.46,0.18%,"644,829"
205,GPK,6.16B,25.11,10.86,1.01,0.90,3.33,91.90,7.98,-14.70%,63.44%,-3.00%,24.98%,9.50%,20.01,1.01%,"1,379,934"
206,GPS,6.30B,16.76,8.39,3.42,0.38,2.24,5.85,-,-308.80%,47.14%,-24.10%,4.90%,-2.70%,16.63,0.73%,"9,723,937"
207,GSKY,2.15B,21.20,18.78,1.63,4.15,28.07,8.90,8.63,-72.30%,15.66%,-19.80%,13.00%,24.80%,11.51,-1.03%,"8,040,075"
208,GT,5.87B,19.45,7.85,2.13,0.36,1.34,4.94,11.15,-301.50%,42.48%,-46.60%,9.13%,-5.60%,20.46,-0.24%,"4,539,059"
209,GTES,4.63B,18.11,10.85,0.60,1.34,1.52,8.56,14.49,-88.50%,12.31%,25.50%,30.28%,0.30%,15.74,0.70%,"520,177"
210,HAIN,3.94B,43.54,22.64,3.35,2.05,3.00,135.89,33.83,159.30%,15.56%,19.40%,13.00%,-3.80%,41.71,1.93%,"1,925,703"
211,HAL,19.47B,50.04,13.24,0.83,1.37,3.51,7.40,19.37,-158.60%,57.64%,-33.80%,60.10%,-9.40%,22.27,-0.93%,"8,958,119"
212,HALO,4.80B,13.26,13.77,0.70,10.36,18.65,5.88,18.11,282.30%,34.03%,41.10%,19.00%,14.70%,36.93,6.61%,"1,414,969"
213,HAYW,5.74B,92.05,20.87,-,4.51,4.46,19.59,17.41,409.40%,8.37%,-,-,-,25.13,2.03%,"1,676,901"
214,HBAN,22.48B,16.63,10.83,-,5.78,1.31,1.85,29.97,-45.20%,31.85%,-3.00%,-2.15%,11.50%,15.38,1.12%,"15,602,004"
