No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
275,KW,3.14B,7.08,249.22,70.78,7.33,2.07,3.74,-,-58.10%,-95.01%,1.20%,0.10%,-5.70%,22.43,0.45%,"696,389"
276,LC,2.79B,-,16.35,-,4.24,3.31,3.24,19.90,-583.10%,1195.28%,-5.33%,-8.60%,-14.20%,26.90,2.71%,"3,290,503"
277,LEG,5.57B,14.15,13.66,2.72,1.13,3.59,23.74,-,-26.10%,10.77%,-4.30%,5.20%,1.80%,41.47,0.85%,"1,277,480"
278,LESL,4.02B,33.51,20.09,1.02,3.05,-,12.99,-,100.00%,11.89%,-,32.80%,-,21.18,-1.63%,"10,088,289"
279,LEVI,9.90B,21.92,15.91,4.14,1.81,6.10,6.73,19.57,-133.10%,6.31%,-21.00%,5.30%,-0.20%,24.40,0.04%,"1,097,603"
280,LFG,2.20B,-,33.88,-,116.94,-,14.31,-,-,-,-,-,-,19.38,5.33%,"1,008,590"
281,LGF-A,3.31B,-,193.88,-,0.94,1.27,7.47,-,90.10%,232.00%,-17.70%,15.00%,6.90%,15.51,0.06%,"543,972"
282,LILA,2.54B,20.22,20.07,-,0.55,0.88,2.76,14.51,-696.40%,-52.24%,-,-,25.30%,11.12,-0.27%,"309,497"
283,LPRO,2.80B,20.46,23.47,-,13.73,21.38,30.76,37.48,-390.00%,-15.67%,-,-,-,21.59,-1.19%,"1,541,091"
284,LSXMA,4.77B,-,17.96,-,0.57,2.06,-,-,194.00%,23.30%,-,-,-,48.49,1.30%,"661,697"
285,LSXMK,10.98B,-,18.02,-,1.30,2.05,-,-,162.10%,92.80%,-,-5.00%,-,48.29,1.15%,"666,950"
286,LTHM,4.03B,-,56.59,-,10.61,5.26,20.62,-,-137.60%,190.97%,-,1.00%,-,25.52,0.59%,"4,586,224"
287,LUMN,12.19B,-,7.58,-,0.61,1.14,19.19,4.58,76.80%,-18.42%,-22.20%,-11.70%,3.00%,11.96,1.27%,"14,522,359"
288,LUV,24.67B,-,20.81,-,1.93,2.32,1.54,17.80,-229.20%,278.70%,-29.70%,-,-14.50%,40.11,-0.32%,"12,988,377"
289,LVS,27.84B,-,34.66,-,6.37,13.09,16.93,-,-163.00%,551.20%,-23.70%,-1.75%,-20.90%,36.01,-0.99%,"9,786,216"
290,LXP,4.32B,19.54,170.00,3.91,12.68,2.18,28.79,50.96,-42.60%,-79.31%,8.30%,5.00%,-5.20%,15.30,0.39%,"1,868,819"
291,LYFT,13.50B,-,45.15,-,4.81,8.75,5.67,-,50.90%,276.90%,-,-,-,38.42,-1.44%,"7,150,782"
292,LZ,3.28B,-,92.64,-,5.91,16.62,10.55,-,33.20%,155.60%,-,18.66%,-,16.12,2.28%,"1,692,045"
293,M,7.50B,9.33,6.17,-,0.32,2.61,23.73,8.13,-836.30%,-16.22%,-43.80%,-11.82%,-7.70%,25.01,-2.99%,"17,339,315"
294,MAIN,2.99B,9.29,16.57,1.16,11.10,1.76,50.16,-,-78.30%,0.78%,-26.80%,8.00%,6.20%,42.92,1.25%,"297,085"
295,MARA,4.07B,-,9.08,-,43.82,5.91,13.29,-,75.70%,447.05%,63.20%,50.00%,-25.50%,38.73,3.75%,"14,934,990"
296,MAT,7.30B,9.09,15.01,0.91,1.38,5.52,49.18,18.55,158.80%,25.39%,-19.60%,10.00%,-4.30%,20.69,2.53%,"2,770,520"
297,MCFE,11.25B,-,21.37,-,5.17,-,13.26,-,-33.00%,18.84%,-,7.54%,-,25.75,0.16%,"1,540,835"
298,MCW,5.32B,-,37.68,-,8.94,8.07,34.33,-,-,11.51%,-,54.10%,-,17.52,1.98%,"866,377"
299,MD,2.27B,31.15,15.14,24.15,1.24,2.64,4.98,-,-122.70%,12.48%,-15.20%,1.29%,-9.00%,26.20,2.30%,"396,919"
300,MDRX,2.17B,-,18.91,-,1.56,1.56,10.15,-,42.50%,6.19%,17.33%,8.00%,1.60%,17.83,1.13%,"995,251"
301,MDU,6.05B,14.87,13.18,2.32,1.08,1.81,105.84,-,15.40%,13.37%,16.70%,6.40%,6.60%,29.72,3.99%,"1,252,600"
302,MFA,2.06B,6.97,9.12,-,4.42,0.78,3.91,-,-297.90%,-18.11%,-31.70%,-,-20.00%,4.58,2.69%,"3,799,093"
303,MGM,19.78B,31.77,49.66,-,2.44,2.90,3.55,88.56,-152.00%,139.00%,-19.60%,-,-10.90%,41.37,0.34%,"6,108,634"
304,MGNI,2.34B,1349.23,27.93,-,6.02,2.63,12.45,51.04,-14.10%,15.65%,-1.02%,-,-2.30%,17.54,0.86%,"2,781,254"
305,MGP,5.92B,27.73,26.00,0.65,7.61,1.96,18.51,52.72,-35.90%,6.02%,16.99%,42.96%,-,37.57,0.45%,"1,079,366"
306,MGY,4.39B,11.24,7.81,0.24,4.92,4.81,17.91,10.87,10750.00%,1.70%,-,46.69%,-,19.10,-0.47%,"2,776,359"
307,MLKN,2.94B,50.92,11.23,1.70,1.12,1.73,12.08,45.69,-32.70%,50.46%,5.20%,30.00%,1.70%,38.60,1.29%,"601,051"
308,MMP,9.52B,11.38,10.46,1.17,3.79,5.17,755.94,168.28,-18.80%,-0.28%,0.20%,9.75%,2.10%,45.24,1.46%,"1,155,155"
309,MNR,2.06B,46.15,56.62,6.59,11.26,3.78,42.41,254.48,191.70%,12.12%,7.70%,7.00%,13.40%,20.95,0.10%,"886,572"
310,MNTV,2.96B,-,142.73,-,6.92,8.10,9.84,-,-16.60%,286.11%,-,-9.46%,-,19.84,0.00%,"1,285,336"
311,MO,83.49B,30.78,9.50,5.95,3.20,-,28.24,48.40,470.60%,4.97%,-2.00%,5.17%,0.60%,45.96,1.23%,"8,225,441"
312,MOS,13.41B,7.82,5.48,1.12,1.22,1.33,15.91,22.74,160.60%,27.66%,-9.50%,7.00%,-0.50%,36.38,1.59%,"4,158,877"
313,MP,7.27B,119.92,43.04,1.82,19.80,7.85,6.17,-,-,29.45%,-,65.93%,-,42.57,1.70%,"2,173,716"
314,MPLN,2.87B,-,21.50,-,1.64,1.23,12.77,8.51,300.00%,23.21%,-,-,-,4.45,2.30%,"6,470,058"
315,MPLX,28.89B,10.47,9.08,1.05,3.03,2.45,740.86,20.16,-177.70%,10.87%,-22.80%,9.94%,47.00%,28.36,0.64%,"2,098,142"
316,MPW,13.19B,22.80,17.48,-,8.98,1.57,37.72,-,-6.90%,18.09%,5.00%,-,23.10%,22.02,1.47%,"4,228,953"
317,MRO,11.66B,-,7.65,-,2.60,1.11,-,8.53,-409.20%,48.84%,6.10%,-2.40%,-8.60%,15.15,-0.20%,"16,646,783"
318,MRVI,11.15B,32.91,26.11,-,16.66,15.62,20.35,29.29,-41.50%,0.92%,-,-1.80%,-,39.98,1.22%,"1,137,397"
319,MSP,4.06B,128.78,40.38,21.11,6.84,2.30,19.70,45.22,179.70%,-2.65%,-,6.10%,-,25.24,1.00%,"763,684"
320,MTDR,4.41B,15.76,5.75,1.52,3.34,2.55,60.34,5.09,-781.60%,57.84%,9.30%,10.40%,22.10%,36.86,0.38%,"1,575,211"
321,MTG,4.66B,8.01,7.35,0.79,3.90,0.97,26.41,7.24,-30.40%,9.32%,-13.10%,10.20%,2.90%,14.13,0.28%,"2,719,477"
322,MUR,4.05B,-,9.17,-,2.17,1.04,8.02,3.48,187.20%,118.07%,10.50%,13.98%,-6.90%,26.57,-0.11%,"1,711,116"
323,MWA,2.23B,31.95,18.65,3.19,2.01,3.22,9.79,37.63,-2.60%,17.55%,9.90%,10.00%,6.80%,14.12,1.66%,"1,337,291"
324,MYGN,2.19B,-,129.81,-,3.20,2.20,5.97,-,63.40%,1200.00%,-21.20%,-8.20%,-16.50%,27.00,4.81%,"893,748"
325,NABL,2.04B,-,28.68,-,6.07,3.27,33.18,-,-184.90%,6.90%,-,-,-,11.56,2.66%,"601,760"
326,NAPA,2.51B,46.30,33.70,4.36,7.04,3.13,483.19,-,86.00%,14.26%,-,10.62%,-,22.41,1.22%,"580,011"
327,NATI,5.66B,107.44,28.03,18.56,3.99,4.70,24.52,-,-10.80%,75.17%,8.00%,5.79%,1.00%,43.30,1.12%,"618,732"
328,NAVI,3.46B,4.26,6.94,0.57,1.82,1.31,3.29,5.83,-17.50%,-30.01%,-3.90%,7.42%,-8.00%,21.59,0.33%,"3,517,788"
329,NCLH,8.32B,-,329.02,-,48.89,2.58,4.30,-,-466.60%,107.00%,-60.00%,-,-21.70%,20.07,-1.33%,"23,398,415"
330,NCR,5.03B,-,11.25,-,0.74,4.37,13.12,6.11,-108.50%,38.53%,20.70%,4.00%,-0.50%,39.29,0.56%,"1,816,234"
331,NEOG,4.60B,74.36,57.88,7.44,9.43,5.38,11.46,82.96,1.00%,9.63%,9.40%,10.00%,7.80%,42.83,-1.34%,"1,304,877"
332,NFE,4.62B,-,14.41,-,5.63,2.80,20.57,-,-5.40%,116.76%,-,-,-,22.36,0.27%,"2,306,491"
333,NI,10.41B,23.69,18.38,6.73,2.21,2.19,270.48,14.56,-121.70%,6.71%,-18.40%,3.52%,0.10%,26.60,1.49%,"3,728,139"
334,NJR,3.87B,33.09,16.64,5.52,1.79,2.38,822.68,20.78,-28.80%,7.21%,-4.30%,6.00%,2.80%,40.34,2.70%,"444,010"
335,NLOK,14.19B,16.40,12.59,1.29,5.28,-,9.21,22.93,29.00%,13.21%,24.10%,12.70%,-6.70%,24.82,2.27%,"4,503,839"
336,NLSN,7.21B,20.93,11.10,3.95,1.68,2.32,13.30,12.26,98.60%,5.38%,-15.00%,5.30%,0.40%,19.99,-0.60%,"3,745,842"
337,NLY,11.87B,4.18,7.69,-,3.46,0.96,11.35,6.46,54.40%,-7.63%,-30.30%,-3.91%,-20.50%,8.10,0.25%,"22,005,626"
338,NMRK,3.30B,5.58,9.65,0.56,1.31,2.60,4.67,-,-33.10%,12.04%,87.40%,10.00%,9.70%,16.35,2.19%,"1,381,921"
339,NNN,8.04B,31.18,26.10,3.12,11.45,2.03,14.79,-,-21.80%,14.47%,0.30%,10.00%,6.50%,45.62,0.53%,"975,170"
340,NOV,5.09B,-,41.97,-,0.95,1.02,-,20.29,53.80%,161.40%,-30.00%,18.90%,-16.20%,13.18,-1.42%,"4,143,425"
341,NRG,9.71B,4.02,10.95,0.09,0.44,2.41,37.49,5.67,-86.70%,-55.81%,16.10%,43.10%,-5.90%,40.06,0.33%,"2,620,901"
342,NRZ,5.20B,8.38,6.29,0.56,1.71,0.97,3.80,-,-362.10%,21.81%,-36.10%,15.04%,-3.40%,11.00,1.38%,"5,402,117"
343,NTCT,2.43B,66.22,17.00,37.20,2.87,1.23,5.10,12.50,815.40%,11.05%,22.50%,1.78%,-2.70%,32.98,3.19%,"411,012"
344,NUS,2.34B,10.75,11.76,1.58,0.84,2.55,7.75,-,16.90%,1.96%,10.00%,6.81%,2.80%,47.65,2.03%,"373,161"
345,NUVA,2.47B,-,20.48,-,2.18,3.05,10.51,23.71,-158.90%,33.65%,-20.80%,25.14%,5.30%,48.72,-3.03%,"1,021,753"
346,NVST,6.65B,20.92,20.62,-,2.38,1.69,10.40,18.46,-87.30%,9.11%,-35.20%,-3.36%,-3.60%,41.24,4.14%,"1,234,439"
347,NWL,9.78B,15.96,12.00,3.78,0.93,2.36,19.79,22.95,-513.60%,8.87%,-31.30%,4.22%,9.70%,22.53,0.58%,"3,516,445"
348,NWSA,12.58B,25.63,20.69,1.32,1.29,1.53,5.99,16.44,125.80%,19.98%,14.90%,19.40%,2.40%,21.25,1.14%,"3,584,635"
349,NYCB,5.42B,10.36,8.18,-,3.20,0.84,1.68,-,13.50%,15.62%,57.70%,-,0.20%,11.74,-1.18%,"7,321,554"
350,NYT,7.61B,47.17,34.35,4.37,3.82,5.14,11.16,33.37,-28.70%,8.47%,9.40%,10.80%,2.50%,44.86,0.49%,"808,307"
351,OCDX,4.49B,-,22.45,-,2.20,11.24,17.56,18.72,-35.10%,8.80%,9.00%,42.10%,2.70%,18.88,3.85%,"813,987"
352,OFC,3.13B,21.39,25.96,2.61,4.71,1.88,214.46,23.14,-49.50%,24.94%,-12.30%,8.20%,-0.50%,27.44,0.81%,"616,872"
353,OGE,7.39B,15.69,17.46,4.02,2.08,1.94,4929.28,-,-140.20%,-3.90%,-21.40%,3.90%,-0.70%,37.04,2.01%,"1,264,068"
354,OGN,7.42B,-,5.04,-,0.94,-,7.36,-,-32.90%,-8.69%,-,-1.00%,-,29.33,1.66%,"2,106,929"
355,OHI,6.73B,15.14,16.39,0.96,6.25,1.65,65.52,47.52,-55.90%,-16.49%,-11.40%,15.80%,3.70%,27.80,-0.25%,"2,169,377"
356,OLLI,3.09B,18.25,19.93,4.34,1.75,2.49,13.45,32.94,72.00%,6.20%,41.80%,4.20%,18.90%,49.18,-2.83%,"2,669,893"
357,OLO,3.50B,-,213.68,-,25.01,5.76,5.86,83.18,100.00%,-3.64%,-,-,-,22.65,2.26%,"2,119,571"
358,OLPX,17.05B,96.18,56.10,-,32.47,38.47,140.32,-,-35.50%,25.65%,-,-,-,26.93,2.79%,"1,459,458"
359,OMI,3.10B,12.98,12.31,0.66,0.32,3.37,77.92,27.27,471.90%,-17.25%,-3.40%,19.60%,-2.80%,40.81,3.03%,"701,866"
360,ONB,2.87B,9.77,10.79,1.22,4.38,0.95,2.32,11.57,-1.20%,3.73%,6.30%,8.00%,10.70%,17.41,-1.86%,"2,923,705"
361,OPCH,4.66B,58.39,29.46,5.84,1.41,4.35,23.22,32.57,90.80%,50.00%,70.00%,10.00%,25.30%,26.51,1.69%,"1,086,640"
362,OPK,2.78B,34.58,85.00,2.88,1.49,1.51,18.71,60.43,109.00%,33.33%,22.70%,12.00%,23.90%,4.08,7.37%,"4,972,225"
363,ORCC,5.55B,8.77,10.65,-,5.77,0.95,7.11,-,-35.00%,9.10%,-,-,-,14.17,1.00%,"1,644,978"
364,ORI,7.58B,5.26,9.75,0.53,0.88,1.19,56.81,9.68,-46.70%,-11.48%,4.80%,10.00%,4.90%,25.02,1.42%,"1,336,083"
365,OUT,3.55B,-,28.83,-,2.66,3.81,6.95,1182.28,-158.10%,427.30%,-21.20%,10.00%,-4.00%,24.30,-2.96%,"1,648,972"
366,OVV,8.25B,-,3.82,-,1.21,2.20,1031.72,5.30,1325.70%,58.34%,5.70%,-,6.60%,32.02,-0.34%,"3,042,477"
367,OWL,20.20B,-,31.45,-,45.13,3.48,145.42,-,-439.00%,28.61%,-,-,-,14.56,0.34%,"2,336,870"
368,OXY,26.18B,-,9.63,-,1.17,2.93,12.71,4.23,130.20%,38.91%,-8.00%,-5.15%,7.30%,28.52,-0.77%,"17,802,752"
369,OZK,5.92B,10.82,12.18,0.90,5.56,1.30,3.32,16.60,-31.70%,-12.13%,1.60%,12.00%,21.40%,45.79,1.96%,"501,661"
370,PAA,6.56B,-,6.99,-,0.19,0.95,34.36,7.79,-244.70%,38.75%,-47.50%,-,0.10%,9.13,1.56%,"4,211,917"
371,PACK,2.93B,-,132.08,-,7.99,4.50,26.53,51.83,50.60%,255.84%,-,-,-,36.19,0.53%,"560,232"
372,PACW,5.25B,9.03,10.40,0.90,4.71,1.34,1.05,13.04,-372.30%,-13.43%,-42.10%,10.00%,4.50%,44.70,1.38%,"951,349"
373,PATH,23.12B,-,6021.43,-,28.53,11.39,12.19,-,82.20%,-85.11%,-,35.00%,-,42.15,-1.33%,"7,815,934"
374,PAY,3.24B,-,335.42,-,8.75,8.70,18.24,-,-5.30%,15.28%,-,28.00%,-,27.84,-0.25%,"357,125"
375,PBCT,7.46B,25.13,13.71,1.83,4.55,0.97,0.89,9.67,-61.80%,-11.58%,-10.80%,13.73%,11.20%,17.39,1.05%,"3,598,377"
376,PCG,24.62B,-,11.00,-,1.22,1.19,58.61,-,92.80%,10.62%,-20.90%,2.50%,1.90%,12.26,0.82%,"9,833,913"
377,PDCE,4.68B,114.67,4.89,4.22,3.66,1.85,46.89,3.79,-733.00%,13.94%,-33.40%,27.20%,17.60%,47.93,0.29%,"1,938,829"
378,PDCO,2.82B,17.58,13.05,3.17,0.44,2.77,18.30,-,125.80%,6.27%,-3.20%,5.54%,1.90%,28.74,0.45%,"590,040"
379,PDM,2.25B,41.92,48.27,10.48,4.31,1.19,274.11,-,1.60%,15.62%,16.20%,4.00%,-1.80%,17.86,0.22%,"807,377"
380,PEAK,18.76B,277.74,94.62,163.38,10.17,2.78,93.28,-,-17.40%,-60.39%,-2.00%,1.70%,-3.30%,34.44,1.26%,"4,186,492"
381,PENN,8.21B,20.77,19.86,-,1.53,2.38,3.01,11.41,162.80%,-14.37%,36.33%,-,4.70%,46.50,-0.32%,"5,427,597"
382,PFGC,6.74B,127.05,13.96,3.34,0.20,1.94,192.11,120.41,130.20%,29.22%,-15.20%,38.04%,13.50%,43.45,-0.69%,"1,756,391"
383,PGNY,4.67B,54.97,88.53,0.91,9.87,19.72,40.88,210.48,549.80%,4.11%,-,60.20%,-,49.31,4.47%,"836,482"
384,PINC,4.57B,19.69,14.21,3.46,2.63,2.02,24.76,18.10,-54.10%,3.54%,-17.00%,5.69%,8.20%,38.23,0.71%,"823,392"
385,PINS,24.45B,67.01,26.78,1.36,10.03,8.60,10.60,38.62,93.40%,22.36%,-,49.30%,-,36.05,1.21%,"10,794,666"
386,PK,4.13B,-,855.50,-,4.04,0.89,5.35,-,-524.70%,104.80%,-43.70%,-,-20.50%,17.11,-3.06%,"5,737,614"
387,PLTR,38.33B,-,92.91,-,26.78,16.54,15.44,182.01,-83.30%,35.33%,-,49.39%,-,18.86,1.18%,"38,534,074"
388,PNM,3.86B,20.23,18.04,3.82,2.26,1.83,77.93,-,122.50%,6.72%,61.60%,5.30%,1.10%,45.56,0.69%,"803,485"
389,PPBI,3.58B,11.13,12.39,1.39,5.10,1.24,8.06,15.20,-71.20%,-13.77%,-8.80%,8.00%,39.70%,37.71,-0.45%,"916,808"
390,PPC,6.92B,-,10.94,-,0.50,2.65,13.53,-,-78.90%,18.02%,-31.20%,35.70%,8.10%,28.30,0.32%,"345,410"
391,PPL,21.87B,136.78,18.10,-,3.51,1.54,4.59,-,-19.40%,37.62%,-4.40%,-,-0.20%,29.27,1.53%,"5,927,585"
392,PRG,2.86B,12.22,10.58,0.58,1.09,2.77,22.24,-,546.60%,7.42%,9.80%,21.00%,-4.80%,45.18,0.44%,"960,633"
393,PRGS,2.11B,26.44,11.65,2.64,4.11,5.30,5.50,14.99,202.10%,11.58%,64.60%,10.00%,3.20%,48.05,3.18%,"396,781"
394,PRMW,2.79B,-,25.48,-,1.36,2.13,22.30,-,9.10%,7.22%,-5.05%,17.70%,10.50%,17.40,1.34%,"949,338"
395,PRVA,2.42B,-,1330.59,-,2.77,5.83,6.68,-,279.00%,67.50%,-,-9.38%,-,22.62,0.62%,"469,621"
396,PSEC,3.24B,6.96,11.80,1.39,4.92,0.93,-,-,-8.00%,2.90%,-6.34%,5.00%,-,8.38,1.09%,"1,595,417"
397,PSN,3.16B,59.58,15.42,-,0.86,1.76,11.47,11.54,-25.10%,23.21%,1.30%,-,4.00%,31.34,-6.00%,"552,126"
398,PSTG,9.44B,-,44.03,-,4.78,12.93,6.93,39.60,-32.50%,18.97%,16.50%,76.68%,30.80%,32.58,2.94%,"3,929,126"
399,PSXP,8.02B,15.96,8.30,3.10,7.37,4.34,112.93,16.13,-36.40%,38.28%,10.40%,5.14%,11.00%,35.26,-0.42%,"428,932"
400,PTVE,2.18B,143.53,9.79,-,0.43,1.79,3.48,-,95.40%,191.80%,56.00%,-,-15.90%,12.20,3.65%,"179,963"
401,PWSC,3.37B,-,24.50,-,6.37,2.85,36.99,-,48.60%,20.80%,-,32.10%,-,17.79,-0.34%,"730,469"
402,PYCR,5.24B,-,123.76,-,14.31,3.76,41.67,-,-7.50%,37.79%,-,2.71%,-,29.33,1.49%,"432,914"
403,QRTEA,3.17B,2.66,3.83,-,0.22,0.83,3.97,7.63,509.70%,3.40%,18.60%,-8.00%,9.10%,7.69,-1.03%,"3,755,780"
404,RAMP,3.26B,-,68.52,-,6.72,3.00,6.09,-,26.40%,26.09%,-65.00%,21.50%,-12.20%,47.35,0.45%,"547,395"
405,RCII,3.20B,16.70,6.73,0.49,0.78,3.26,20.17,22.94,20.40%,16.76%,17.20%,34.30%,-3.00%,47.80,-5.18%,"1,050,739"
406,RCM,6.83B,-,49.36,-,4.86,20.03,43.03,36.00,448.00%,142.50%,18.20%,25.00%,61.10%,24.04,0.42%,"748,520"
407,RDN,3.67B,7.12,6.87,0.31,2.69,0.90,23.70,8.15,-37.40%,6.48%,11.90%,22.64%,3.80%,20.45,0.39%,"2,417,217"
408,REGI,2.19B,12.08,12.48,2.28,0.75,1.32,2.45,-,-68.00%,-14.14%,22.90%,5.29%,9.00%,43.96,1.03%,"460,971"
409,REYN,6.38B,19.14,17.57,8.35,1.86,3.79,91.08,-,71.70%,11.37%,41.50%,2.29%,1.90%,30.64,2.10%,"502,984"
410,REZI,3.67B,15.72,12.80,-,0.62,1.70,5.35,12.79,0.30%,26.95%,-24.50%,-,4.10%,25.38,2.67%,"658,951"
411,RF,20.90B,8.20,10.63,0.33,5.12,1.23,0.76,13.22,-31.50%,-19.08%,6.30%,25.20%,3.40%,21.87,0.18%,"8,393,397"
412,RIOT,3.07B,122.03,15.71,6.10,24.09,3.23,17.69,-,70.50%,86.10%,33.10%,20.00%,160.10%,25.87,3.77%,"14,685,397"
413,RKT,31.28B,9.09,10.04,-,2.04,3.05,14.00,3.30,-47.70%,-32.44%,-32.60%,-,33.30%,15.62,-1.88%,"4,469,672"
414,RLJ,2.11B,-,99.60,-,3.30,1.01,3.38,-,-541.50%,107.10%,-30.50%,-9.10%,-16.10%,12.55,-0.48%,"2,102,909"
415,RMBS,3.15B,1062.96,19.44,106.51,10.43,3.69,7.50,19.36,53.90%,9.17%,-17.10%,9.98%,-3.60%,28.70,1.85%,"676,336"
416,RNST,2.01B,12.00,14.74,1.20,4.19,0.92,1.36,50.01,-48.50%,-20.69%,-4.60%,10.00%,13.60%,36.16,-1.74%,"645,096"
417,ROIC,2.30B,44.68,56.69,5.59,8.08,1.81,25.17,25.57,-34.60%,4.04%,1.30%,8.00%,8.10%,18.99,2.21%,"1,673,300"
418,ROL,16.17B,46.00,42.85,5.61,6.85,14.52,137.40,89.79,28.70%,10.32%,11.40%,8.20%,7.80%,32.52,0.56%,"3,537,634"
419,RPRX,23.02B,26.11,11.82,2.19,10.07,2.77,8.55,-,-66.60%,12.04%,-,11.90%,-,37.52,-0.08%,"3,299,573"
420,RRC,4.71B,-,5.01,-,1.66,3.79,9416.71,8.35,57.40%,74.50%,7.20%,12.20%,8.60%,18.41,2.22%,"4,244,203"
421,RRR,5.35B,57.27,20.09,-,3.47,9.72,59.46,9.48,153.10%,87.78%,-21.10%,-,-2.60%,48.79,-0.59%,"1,394,904"
422,RXT,2.84B,-,12.38,-,0.96,2.05,10.94,15.04,-166.30%,12.31%,-33.40%,17.04%,6.20%,13.44,4.59%,"1,101,645"
423,RYAN,9.75B,34.89,31.35,-,7.06,12.77,23.58,-,6.10%,17.70%,-,-,-,37.93,-1.61%,"797,127"
424,RYN,5.57B,36.80,75.43,7.36,5.29,3.25,12.89,38.58,-40.60%,-47.58%,-5.90%,5.00%,8.60%,39.15,0.88%,"653,090"
425,SANM,2.48B,9.65,8.73,-,0.37,1.34,-,9.34,103.20%,9.85%,11.00%,-1.50%,0.80%,38.65,0.76%,"354,347"
426,SASR,2.18B,9.35,12.90,1.00,4.83,1.47,1.96,-,-32.90%,-26.23%,3.50%,9.30%,21.80%,48.45,-0.66%,"342,216"
427,SATS,2.25B,15.87,25.93,3.17,1.14,0.66,1.45,17.20,61.20%,-50.96%,-18.90%,5.00%,0.40%,25.80,-0.12%,"513,638"
428,SAVE,2.45B,-,75.80,-,0.89,1.10,1.50,8.39,-217.10%,143.90%,-27.00%,-,-3.30%,22.21,-0.63%,"5,525,837"
429,SBH,2.16B,9.23,7.01,0.31,0.56,7.78,5.39,7.02,112.70%,6.60%,7.00%,29.90%,-0.40%,19.36,-2.37%,"1,272,101"
430,SBRA,3.07B,-,17.30,-,5.26,0.88,5.63,106.40,82.10%,450.00%,-9.60%,7.30%,20.10%,13.20,0.30%,"2,324,149"
431,SC,12.81B,4.18,8.75,0.30,1.71,1.62,6.08,2.29,0.20%,-53.38%,4.40%,13.85%,4.50%,42.11,0.89%,"133,115"
432,SEAT,2.01B,-,39.49,-,-,1.37,111.16,-,-,-,-,-,-,10.15,2.01%,"1,252,365"
433,SEM,4.00B,9.29,10.07,0.48,0.66,3.37,5.35,7.95,75.00%,-3.99%,14.20%,19.19%,8.10%,29.55,2.28%,"1,037,861"
434,SFM,3.10B,11.93,13.61,20.56,0.50,3.31,11.90,10.89,94.60%,-0.29%,24.10%,0.58%,12.50%,28.05,1.56%,"1,651,577"
435,SFNC,3.37B,11.62,15.23,2.32,4.96,1.05,1.89,13.94,-3.90%,-21.00%,12.00%,5.00%,20.30%,29.46,-0.81%,"1,388,104"
436,SGFY,3.20B,-,49.82,-,4.08,2.15,4.72,26.35,49.10%,340.00%,-,-,-,13.95,4.34%,"1,452,341"
437,SGRY,3.97B,-,130.48,-,1.84,5.24,12.03,224.57,-39.40%,800.00%,-,0.70%,14.10%,49.06,0.76%,"289,500"
438,SHC,6.26B,148.49,21.30,4.44,6.90,11.53,54.49,40.08,-79.70%,16.48%,-,33.42%,-,21.68,1.12%,"445,787"
439,SHLS,4.59B,582.89,53.53,16.77,22.52,2623.00,323.33,717.39,39.90%,101.65%,-,34.75%,-,26.23,0.65%,"1,041,909"
440,SHLX,4.40B,9.28,7.09,1.02,8.07,7.42,12.06,-,-30.60%,10.02%,0.50%,9.10%,-0.20%,11.13,0.09%,"863,429"
441,SHO,2.42B,-,61.59,-,6.50,1.33,13.49,-,-457.70%,87.00%,-26.60%,19.90%,-26.50%,10.84,-0.37%,"2,476,154"
442,SHOO,3.79B,26.70,16.15,2.67,2.31,4.60,14.58,39.03,-117.00%,24.06%,-17.40%,10.00%,-3.10%,47.05,0.13%,"685,761"
443,SIRI,25.03B,79.75,18.99,7.38,2.91,-,152.62,18.78,-84.20%,7.35%,-19.70%,10.80%,12.00%,6.38,1.27%,"15,356,502"
444,SITC,3.12B,72.76,75.74,-,6.04,1.69,50.33,25.04,-76.60%,-30.85%,15.50%,-6.04%,-14.80%,14.77,0.61%,"1,916,250"
445,SIX,3.34B,80.19,17.61,-,2.59,-,8.57,16.84,-336.90%,52.93%,-38.80%,-14.96%,-22.40%,38.57,3.68%,"2,614,479"
446,SJI,2.83B,29.76,14.97,5.72,1.54,1.55,111.34,-,93.90%,3.38%,1.10%,5.20%,9.90%,25.15,2.99%,"729,446"
447,SKIN,3.42B,-,630.29,-,18.76,-,4.76,-,-,-,-,-,-,22.06,3.57%,"1,554,354"
448,SKT,2.04B,-,29.01,-,4.78,4.34,14.23,12.63,-142.80%,539.42%,-16.80%,6.70%,-2.40%,19.29,1.63%,"879,544"
449,SKX,6.76B,17.68,14.40,0.24,1.13,2.36,6.48,34.59,-76.30%,19.27%,-18.70%,72.30%,7.90%,43.04,-0.53%,"1,075,550"
450,SLB,40.62B,25.07,15.60,0.41,1.83,3.08,13.81,20.86,-3.40%,47.95%,-46.10%,61.30%,-7.80%,29.31,-1.21%,"9,254,853"
451,SLGN,4.61B,14.08,11.36,2.12,0.84,3.21,17.03,24.77,59.50%,11.32%,14.50%,6.65%,5.50%,42.34,1.46%,"268,362"
452,SLM,5.49B,5.28,6.76,0.26,3.05,2.99,1.89,-,72.50%,-20.80%,30.70%,20.00%,19.50%,18.77,2.85%,"3,514,380"
