Date/Time,Open,High,Low,Close
2021-05-28 09:31:00,125.56,125.8,125.3,125.3
2021-05-28 09:32:00,125.32,125.32,124.95,125.0201
2021-05-28 09:33:00,125.03,125.1669,124.95,124.9999
2021-05-28 09:34:00,125,125.045,124.74,124.77
2021-05-28 09:35:00,124.77,124.88,124.58,124.8287
2021-05-28 09:36:00,124.82,124.89,124.59,124.85
2021-05-28 09:37:00,124.855,124.94,124.84,124.86
2021-05-28 09:38:00,124.87,124.94,124.82,124.9046
2021-05-28 09:39:00,124.905,124.95,124.8,124.895
2021-05-28 09:40:00,124.9,125.07,124.87,125.05
2021-05-28 09:41:00,125.055,125.12,124.99,125.01
2021-05-28 09:42:00,125.01,125.21,124.9,125.202
2021-05-28 09:43:00,125.205,125.35,125.18,125.31
2021-05-28 09:44:00,125.31,125.3477,125.1525,125.25
2021-05-28 09:45:00,125.25,125.29,125.18,125.24
2021-05-28 09:46:00,125.2499,125.35,125.23,125.3093
2021-05-28 09:47:00,125.31,125.38,125.18,125.25
2021-05-28 09:48:00,125.25,125.31,125.0482,125.145
2021-05-28 09:49:00,125.14,125.15,125,125.09
2021-05-28 09:50:00,125.08,125.195,125.06,125.18
2021-05-28 09:51:00,125.185,125.23,125.1255,125.15
2021-05-28 09:52:00,125.155,125.25,125.08,125.235
2021-05-28 09:53:00,125.245,125.28,125.21,125.26
2021-05-28 09:54:00,125.26,125.48,125.26,125.44
2021-05-28 09:55:00,125.45,125.4699,125.3544,125.41
2021-05-28 09:56:00,125.405,125.515,125.39,125.5001
2021-05-28 09:57:00,125.505,125.52,125.41,125.425
2021-05-28 09:58:00,125.42,125.49,125.41,125.47
2021-05-28 09:59:00,125.48,125.48,125.39,125.46
2021-05-28 10:00:00,125.46,125.59,125.44,125.44
2021-05-28 10:01:00,125.435,125.51,125.43,125.45
2021-05-28 10:02:00,125.4508,125.49,125.39,125.415
2021-05-28 10:03:00,125.42,125.4628,125.32,125.385
2021-05-28 10:04:00,125.39,125.425,125.27,125.38
2021-05-28 10:05:00,125.37,125.4,125.3401,125.385
2021-05-28 10:06:00,125.39,125.58,125.375,125.5686
2021-05-28 10:07:00,125.5692,125.575,125.48,125.4882
2021-05-28 10:08:00,125.49,125.51,125.45,125.5
2021-05-28 10:09:00,125.5,125.54,125.43,125.4382
2021-05-28 10:10:00,125.4371,125.5894,125.43,125.5887
2021-05-28 10:11:00,125.59,125.65,125.58,125.64
2021-05-28 10:12:00,125.645,125.65,125.54,125.54
2021-05-28 10:13:00,125.545,125.5752,125.44,125.44
2021-05-28 10:14:00,125.44,125.455,125.35,125.39
2021-05-28 10:15:00,125.385,125.55,125.38,125.4322
2021-05-28 10:16:00,125.435,125.5,125.43,125.5
2021-05-28 10:17:00,125.4992,125.63,125.495,125.61
2021-05-28 10:18:00,125.601,125.7,125.5903,125.695
2021-05-28 10:19:00,125.695,125.71,125.5822,125.61
2021-05-28 10:20:00,125.61,125.6171,125.42,125.435
2021-05-28 10:21:00,125.4445,125.4556,125.3358,125.425
2021-05-28 10:22:00,125.425,125.49,125.425,125.46
2021-05-28 10:23:00,125.4697,125.5,125.365,125.42
2021-05-28 10:24:00,125.42,125.43,125.3,125.315
2021-05-28 10:25:00,125.315,125.32,125.2,125.2475
2021-05-28 10:26:00,125.245,125.33,125.225,125.325
2021-05-28 10:27:00,125.31,125.32,125.18,125.185
2021-05-28 10:28:00,125.19,125.23,125.15,125.2
2021-05-28 10:29:00,125.205,125.23,125.16,125.1879
2021-05-28 10:30:00,125.1982,125.34,125.19,125.32
2021-05-28 10:31:00,125.32,125.42,125.32,125.4
2021-05-28 10:32:00,125.4088,125.4272,125.37,125.395
2021-05-28 10:33:00,125.395,125.43,125.31,125.315
2021-05-28 10:34:00,125.31,125.41,125.28,125.4054
2021-05-28 10:35:00,125.405,125.43,125.3801,125.42
2021-05-28 10:36:00,125.425,125.51,125.42,125.495
2021-05-28 10:37:00,125.49,125.55,125.4651,125.54
2021-05-28 10:38:00,125.54,125.6,125.535,125.5777
2021-05-28 10:39:00,125.5789,125.62,125.575,125.59
2021-05-28 10:40:00,125.5955,125.61,125.55,125.575
2021-05-28 10:41:00,125.57,125.6,125.52,125.545
2021-05-28 10:42:00,125.5401,125.58,125.53,125.53
2021-05-28 10:43:00,125.535,125.545,125.46,125.52
2021-05-28 10:44:00,125.52,125.52,125.39,125.4
2021-05-28 10:45:00,125.395,125.45,125.39,125.4387
2021-05-28 10:46:00,125.44,125.45,125.41,125.4101
2021-05-28 10:47:00,125.42,125.45,125.4,125.425
2021-05-28 10:48:00,125.44,125.445,125.36,125.36
2021-05-28 10:49:00,125.37,125.37,125.25,125.305
2021-05-28 10:50:00,125.31,125.34,125.2701,125.281
2021-05-28 10:51:00,125.29,125.35,125.285,125.32
2021-05-28 10:52:00,125.3226,125.3684,125.3226,125.3684
2021-05-28 10:53:00,125.36,125.38,125.33,125.3527
2021-05-28 10:54:00,125.36,125.3785,125.29,125.302
2021-05-28 10:55:00,125.31,125.33,125.275,125.275
2021-05-28 10:56:00,125.28,125.28,125.2,125.2409
2021-05-28 10:57:00,125.2472,125.26,125.15,125.16
2021-05-28 10:58:00,125.15,125.2255,125.14,125.15
