start,Strategy,Amount,open_trade,Position,end,duration,close_trade,profit,percent,win
2020-10-27 09:55:00,MacdPerfect,1.0,115.83,1.0,2020-10-27 10:15:00,0 days 00:20:00,115.77,-0.060000000000002274,-0.051800051800053766,False
2020-11-09 09:35:00,MacdPerfect,1.0,119.5,1.0,2020-11-09 09:40:00,0 days 00:05:00,119.24,-0.2600000000000051,-0.21757322175732646,False
2020-11-09 09:45:00,MacdPerfect,1.0,119.82,1.0,2020-11-09 09:55:00,0 days 00:10:00,119.7,-0.11999999999999034,-0.10015022533799896,False
2020-11-12 09:45:00,MacdPerfect,1.0,119.41,1.0,2020-11-12 09:50:00,0 days 00:05:00,119.28,-0.12999999999999545,-0.10886860396951299,False
2020-11-25 09:35:00,MacdPerfect,1.0,115.99,1.0,2020-11-25 10:05:00,0 days 00:30:00,115.82,-0.1700000000000017,-0.1465643589964667,False
2020-11-27 09:35:00,MacdPerfect,1.0,116.99,1.0,2020-11-27 09:55:00,0 days 00:20:00,116.92,-0.06999999999999318,-0.059834173861007936,False
2020-11-27 10:00:00,MacdPerfect,1.0,116.92,1.0,2020-11-27 10:05:00,0 days 00:05:00,116.83,-0.09000000000000341,-0.07697570988710521,False
2020-12-03 09:35:00,MacdPerfect,1.0,123.3,1.0,2020-12-03 09:40:00,0 days 00:05:00,123.05,-0.25,-0.20275750202757503,False
2020-12-03 09:50:00,MacdPerfect,1.0,123.0,1.0,2020-12-03 09:55:00,0 days 00:05:00,123.0,0.0,0.0,False
2020-12-14 09:35:00,MacdPerfect,1.0,122.89,1.0,2020-12-14 10:05:00,0 days 00:30:00,122.83,-0.060000000000002274,-0.048824151680366405,False
2020-12-17 09:35:00,MacdPerfect,1.0,129.37,1.0,2020-12-17 09:45:00,0 days 00:10:00,128.94,-0.4300000000000068,-0.33237999536214485,False
2020-12-17 09:50:00,MacdPerfect,1.0,128.87,1.0,2020-12-17 09:55:00,0 days 00:05:00,128.86,-0.009999999999990905,-0.007759757895546601,False
2020-12-17 10:00:00,MacdPerfect,1.0,128.75,1.0,2020-12-17 10:05:00,0 days 00:05:00,128.51,-0.2400000000000091,-0.18640776699029832,False
2020-12-24 09:45:00,MacdPerfect,1.0,132.62,1.0,2020-12-24 10:00:00,0 days 00:15:00,132.41,-0.21000000000000796,-0.15834715729151558,False
2020-12-29 09:35:00,MacdPerfect,1.0,138.15,1.0,2020-12-29 09:40:00,0 days 00:05:00,137.61,-0.539999999999992,-0.3908794788273558,False
2020-12-29 09:45:00,MacdPerfect,1.0,137.17,1.0,2020-12-29 09:55:00,0 days 00:10:00,136.67,-0.5,-0.3645111904935482,False
2021-01-08 09:35:00,MacdPerfect,1.0,131.89,1.0,2021-01-08 09:40:00,0 days 00:05:00,131.45,-0.4399999999999977,-0.333611342785653,False
2021-01-08 09:45:00,MacdPerfect,1.0,131.16,1.0,2021-01-08 09:50:00,0 days 00:05:00,131.12,-0.03999999999999204,-0.030497102775230284,False
2021-01-13 10:00:00,MacdPerfect,1.0,129.6,1.0,2021-01-13 10:05:00,0 days 00:05:00,129.56,-0.03999999999999204,-0.03086419753085806,False
2021-01-25 09:35:00,MacdPerfect,1.0,144.71,1.0,2021-01-25 09:45:00,0 days 00:10:00,144.26,-0.45000000000001705,-0.3109667611084355,False
2021-01-26 09:35:00,MacdPerfect,1.0,143.87,1.0,2021-01-26 09:40:00,0 days 00:05:00,142.92,-0.950000000000017,-0.660318342948507,False
2021-02-02 09:35:00,MacdPerfect,1.0,135.85,1.0,2021-02-02 09:45:00,0 days 00:10:00,135.45,-0.4000000000000057,-0.2944423997055618,False
2021-02-04 09:35:00,MacdPerfect,1.0,135.8,1.0,2021-02-04 09:50:00,0 days 00:15:00,135.51,-0.29000000000002046,-0.21354933726069253,False
2021-02-04 09:55:00,MacdPerfect,1.0,135.37,1.0,2021-02-04 10:00:00,0 days 00:05:00,134.96,-0.4099999999999966,-0.3028736056733372,False
2021-02-09 09:35:00,MacdPerfect,1.0,137.41,1.0,2021-02-09 09:45:00,0 days 00:10:00,137.24,-0.1699999999999875,-0.12371734226037952,False
2021-02-09 09:50:00,MacdPerfect,1.0,137.09,1.0,2021-02-09 10:10:00,0 days 00:20:00,137.0,-0.09000000000000341,-0.06565030272084281,False
2021-02-10 09:35:00,MacdPerfect,1.0,136.46,1.0,2021-02-10 09:50:00,0 days 00:15:00,136.29,-0.17000000000001592,-0.1245786311007005,False
2021-02-11 09:35:00,MacdPerfect,1.0,136.1,1.0,2021-02-11 09:40:00,0 days 00:05:00,135.92,-0.18000000000000682,-0.1322556943424003,False
2021-02-16 09:35:00,MacdPerfect,1.0,135.1,1.0,2021-02-16 09:40:00,0 days 00:05:00,134.89,-0.21000000000000796,-0.15544041450777793,False
2021-02-25 09:40:00,MacdPerfect,1.0,125.64,1.0,2021-02-25 09:45:00,0 days 00:05:00,125.34,-0.29999999999999716,-0.23877745940782963,False
2021-02-25 09:50:00,MacdPerfect,1.0,125.12,1.0,2021-02-25 09:55:00,0 days 00:05:00,124.7,-0.4200000000000017,-0.3356777493606152,False
2021-03-11 09:35:00,MacdPerfect,1.0,122.8,1.0,2021-03-11 09:40:00,0 days 00:05:00,122.42,-0.37999999999999545,-0.30944625407165754,False
2021-03-11 09:45:00,MacdPerfect,1.0,122.0,1.0,2021-03-11 09:55:00,0 days 00:10:00,121.71,-0.29000000000000625,-0.237704918032792,False
2021-03-11 10:00:00,MacdPerfect,1.0,121.88,1.0,2021-03-11 10:10:00,0 days 00:10:00,121.82,-0.060000000000002274,-0.04922874958976229,False
2021-03-29 09:35:00,MacdPerfect,1.0,122.24,1.0,2021-03-29 09:45:00,0 days 00:10:00,121.83,-0.4099999999999966,-0.33540575916230086,False
2021-03-29 09:50:00,MacdPerfect,1.0,121.68,1.0,2021-03-29 09:55:00,0 days 00:05:00,121.42,-0.2600000000000051,-0.21367521367521786,False
2021-03-29 10:00:00,MacdPerfect,1.0,121.33,1.0,2021-03-29 10:05:00,0 days 00:05:00,121.11,-0.21999999999999886,-0.18132366273798636,False
2021-04-01 09:35:00,MacdPerfect,1.0,123.68,1.0,2021-04-01 09:50:00,0 days 00:15:00,123.44,-0.2400000000000091,-0.1940491591203178,False
2021-04-01 09:55:00,MacdPerfect,1.0,123.54,1.0,2021-04-01 10:00:00,0 days 00:05:00,123.35,-0.19000000000001194,-0.15379634126599637,False
2021-04-20 09:45:00,MacdPerfect,1.0,134.9,1.0,2021-04-20 10:05:00,0 days 00:20:00,134.86,-0.03999999999999204,-0.02965159377315941,False
2021-04-27 09:35:00,MacdPerfect,1.0,134.88,1.0,2021-04-27 09:45:00,0 days 00:10:00,134.64,-0.2400000000000091,-0.17793594306050498,False
2021-04-29 09:35:00,MacdPerfect,1.0,135.1,1.0,2021-04-29 09:40:00,0 days 00:05:00,134.74,-0.3599999999999852,-0.26646928201331255,False
2021-04-29 09:45:00,MacdPerfect,1.0,135.11,1.0,2021-04-29 09:50:00,0 days 00:05:00,134.67,-0.44000000000002615,-0.3256605728665725,False
2021-04-29 09:55:00,MacdPerfect,1.0,134.31,1.0,2021-04-29 10:00:00,0 days 00:05:00,134.16,-0.15000000000000568,-0.11168192986375228,False
2021-05-07 09:35:00,MacdPerfect,1.0,130.04,1.0,2021-05-07 09:45:00,0 days 00:10:00,129.92,-0.12000000000000455,-0.09227929867733356,False
2021-05-07 09:50:00,MacdPerfect,1.0,130.04,1.0,2021-05-07 09:55:00,0 days 00:05:00,130.03,-0.009999999999990905,-0.007689941556437177,False
2021-05-13 09:35:00,MacdPerfect,1.0,125.2,1.0,2021-05-13 09:45:00,0 days 00:10:00,124.75,-0.45000000000000284,-0.3594249201277978,False
2021-05-14 09:35:00,MacdPerfect,1.0,126.84,1.0,2021-05-14 09:40:00,0 days 00:05:00,126.6,-0.2400000000000091,-0.18921475875118976,False
2021-05-14 09:45:00,MacdPerfect,1.0,126.26,1.0,2021-05-14 09:50:00,0 days 00:05:00,126.1,-0.1600000000000108,-0.12672263583083382,False
2021-05-21 10:00:00,MacdPerfect,1.0,127.08,1.0,2021-05-21 10:10:00,0 days 00:10:00,126.85,-0.23000000000000398,-0.1809883537928895,False
2021-05-25 09:35:00,MacdPerfect,1.0,127.65,1.0,2021-05-25 09:40:00,0 days 00:05:00,127.27,-0.38000000000000966,-0.2976889933411748,False
2021-05-26 09:55:00,MacdPerfect,1.0,126.9,1.0,2021-05-26 10:15:00,0 days 00:20:00,126.71,-0.19000000000001194,-0.14972419227739317,False
