No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
135,CHTR,110.88B,28.46,19.56,0.77,2.17,6.59,237.93,12.99,106.60%,39.15%,50.60%,36.95%,37.60%,617.32,-0.73%,"1,935,656"
136,ADBE,289.88B,52.01,44.19,2.84,19.20,20.86,47.03,43.96,80.50%,14.32%,54.30%,18.28%,21.80%,630.33,2.52%,"4,131,919"
137,AVGO,243.26B,42.65,19.68,2.89,8.86,10.80,21.91,35.33,-2.10%,16.39%,5.00%,14.74%,28.50%,639.86,4.06%,"2,808,796"
138,INTU,179.98B,85.61,47.45,4.92,17.45,18.16,55.38,68.83,9.20%,16.59%,20.00%,17.40%,15.50%,647.49,1.25%,"2,453,027"
139,REGN,70.35B,10.50,13.80,2.63,5.19,4.05,12.16,13.07,65.30%,-32.58%,40.80%,4.00%,15.70%,657.93,-1.94%,"829,894"
140,ORLY,45.60B,23.81,22.36,1.94,3.54,-,101.48,17.47,31.60%,4.32%,20.70%,12.30%,7.80%,687.21,2.97%,"416,105"
141,LRCX,97.27B,23.55,19.09,1.47,6.17,16.98,21.09,43.52,78.10%,5.59%,38.80%,16.06%,20.00%,697.31,2.66%,"1,328,180"
142,SIVB,41.18B,21.35,23.88,2.67,14.10,3.30,1.92,28.94,5.20%,-7.49%,28.10%,8.00%,16.50%,699.53,3.38%,"391,987"
143,EQIX,73.65B,172.06,105.16,4.65,11.34,6.95,53.41,-,-30.20%,40.89%,5.40%,37.00%,17.10%,817.09,1.40%,"456,984"
144,TSLA,940.20B,316.67,119.12,4.33,20.07,36.00,58.42,95.07,165.00%,35.20%,19.70%,73.06%,50.80%,975.99,1.82%,"24,614,667"
145,BKNG,88.71B,237.61,21.21,-,9.63,15.78,7.29,52.27,-98.90%,135.10%,-52.20%,-,-5.90%,2130.38,0.26%,"431,256"
146,GOOGL,1942.22B,28.21,26.15,1.16,8.12,7.97,13.68,29.58,27.20%,3.22%,20.70%,24.41%,19.50%,2928.82,1.76%,"1,748,997"
147,GOOG,2023.27B,39.28,27.81,1.61,9.19,8.60,-,-,72.10%,5.10%,-,24.41%,-,2947.37,1.65%,"1,350,918"
148,AMZN,1777.93B,67.78,67.16,1.88,3.88,14.58,22.51,-,81.90%,26.08%,101.80%,36.00%,29.30%,3466.30,2.50%,"3,721,691"
